"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","extract_protocol_ch1.2","extract_protocol_ch1.3","taxid_ch1","description","description.1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","antibodies:ch1","cell lineage:ch1","cell type:ch1","tissue:ch1"
"GSM3188523","CD4T.4","GSM3188523","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","CD4:+ T Cell","Homo sapiens","cell type: CD4:+ T Cell","cell lineage: T Cell Lineage","antibodies: CD3:+ CD19:- CD56:- CD4+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405287","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203034","NONE","CD3:+ CD19:- CD56:- CD4+","T Cell Lineage","CD4:+ T Cell","Peripheral Blood"
"GSM3188524","CD8T.4","GSM3188524","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","CD8:+ T Cell","Homo sapiens","cell type: CD8:+ T Cell","cell lineage: T Cell Lineage","antibodies: CD3:+ CD19:- CD56:- CD8+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405286","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203035","NONE","CD3:+ CD19:- CD56:- CD8+","T Cell Lineage","CD8:+ T Cell","Peripheral Blood"
"GSM3188525","Mono.4","GSM3188525","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Monocyte","Homo sapiens","cell type: Monocyte","cell lineage: Macrophage Lineage","antibodies: CD14:Hi BDCA1:- BDCA2:- CD123:Lo","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405285","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203036","NONE","CD14:Hi BDCA1:- BDCA2:- CD123:Lo","Macrophage Lineage","Monocyte","Peripheral Blood"
"GSM3188526","NveB.4","GSM3188526","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Naive B Cell","Homo sapiens","cell type: Naive B Cell","cell lineage: B Cell Lineage","antibodies: CD3:- CD19:+ CD27:Lo","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405284","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203037","NONE","CD3:- CD19:+ CD27:Lo","B Cell Lineage","Naive B Cell","Peripheral Blood"
"GSM3188527","NK.4","GSM3188527","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","NK Cell","Homo sapiens","cell type: NK Cell","cell lineage: NK Cell Lineage","antibodies: CD3:- CD56:+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405283","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203038","NONE","CD3:- CD56:+","NK Cell Lineage","NK Cell","Peripheral Blood"
"GSM3188528","CD4T.5","GSM3188528","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","CD4:+ T Cell","Homo sapiens","cell type: CD4:+ T Cell","cell lineage: T Cell Lineage","antibodies: CD3:+ CD19:- CD56:- CD4+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405282","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203039","NONE","CD3:+ CD19:- CD56:- CD4+","T Cell Lineage","CD4:+ T Cell","Peripheral Blood"
"GSM3188529","CD8T.5","GSM3188529","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","CD8:+ T Cell","Homo sapiens","cell type: CD8:+ T Cell","cell lineage: T Cell Lineage","antibodies: CD3:+ CD19:- CD56:- CD8+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405281","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203040","NONE","CD3:+ CD19:- CD56:- CD8+","T Cell Lineage","CD8:+ T Cell","Peripheral Blood"
"GSM3188530","Mono.5","GSM3188530","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Monocyte","Homo sapiens","cell type: Monocyte","cell lineage: Macrophage Lineage","antibodies: CD14:Hi BDCA1:- BDCA2:- CD123:Lo","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405280","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203041","NONE","CD14:Hi BDCA1:- BDCA2:- CD123:Lo","Macrophage Lineage","Monocyte","Peripheral Blood"
"GSM3188531","NveB.5","GSM3188531","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Naive B Cell","Homo sapiens","cell type: Naive B Cell","cell lineage: B Cell Lineage","antibodies: CD3:- CD19:+ CD27:Lo","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405279","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203042","NONE","CD3:- CD19:+ CD27:Lo","B Cell Lineage","Naive B Cell","Peripheral Blood"
"GSM3188532","Neut.3","GSM3188532","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Neutrophil","Homo sapiens","cell type: Neutrophil","cell lineage: Neutrophil Lineage","antibodies: Miltenyi Biotec Eosinophil Isolation Kit Negative","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405278","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203043","NONE","Miltenyi Biotec Eosinophil Isolation Kit Negative","Neutrophil Lineage","Neutrophil","Peripheral Blood"
"GSM3188533","NK.5","GSM3188533","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","NK Cell","Homo sapiens","cell type: NK Cell","cell lineage: NK Cell Lineage","antibodies: CD3:- CD56:+","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405276","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203044","NONE","CD3:- CD56:+","NK Cell Lineage","NK Cell","Peripheral Blood"
"GSM3188534","myDC.3","GSM3188534","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Myeloid DC","Homo sapiens","cell type: Myeloid DC","cell lineage: Dendritic Cell Lineage","antibodies: CD14:- BDCA1:+ BDCA2:- CD123:-","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405275","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203045","NONE","CD14:- BDCA1:+ BDCA2:- CD123:-","Dendritic Cell Lineage","Myeloid DC","Peripheral Blood"
"GSM3188535","pDC.2","GSM3188535","Public on Nov 29 2018","Jun 13 2018","Nov 29 2018","SRA","1","Plasmacytoid DC","Homo sapiens","cell type: Plasmacytoid DC","cell lineage: Dendritic Cell Lineage","antibodies: CD14:- BDCA1:- BDCA2:+ CD123:Hi","tissue: Peripheral Blood","total RNA","Buffy pack from adult donors","PBMCs were isolated with Ficoll Density Gradient","RNA was isolated from two biological repliates (RNAeasy plus micro kit, QIagen)","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","Haemopedia-Human-RNASeq_raw.txt","Haemopedia-Human-RNASeq_rpkm.txt","Sequence reads were alligned using the R Subread aligner","Genewise counts were obtained using FeatureCounts","Counts were converted to counts per million mapped reads per kilobase of transcript","Genome_build: GRCh38/hg38","Supplementary_files_format_and_content: raw_counts file is the counts as given by FeatureCounts","Supplementary_files_format_and_content: norm_Log2RPKM files give the normalized Log2 reads per kilobase of transcript, per million mapped reads","GPL16791","Carolyn,A,de Graaf","degraaf@wehi.edu.au","Walter and Eliza Hall Institute","1G Royal Parade","Parkville","3052","Australia","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09405274","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4203046","NONE","CD14:- BDCA1:- BDCA2:+ CD123:Hi","Dendritic Cell Lineage","Plasmacytoid DC","Peripheral Blood"
